FID,ICOUNT,Comuna,Cód_Región,Región,País,Calle_Uno,Calle_Dos,Número,Dirección,Fallecidos,Graves,Menos_Grav,Leves,Accidentes,Falle_bici,Grave_bici,Mgrav_bici,leve_bici
1,1,SAN BERNARDO,13,REGION METROPOLITANA,Chile,CAMINO EL ROMERAL, ,4,CAMINO EL ROMERAL 4,0,0,0,1,1,0,0,0,1
2,1,SAN BERNARDO,13,REGION METROPOLITANA,Chile,ENRIQUE MADRID OSORIO,BARROS ARANA,0,ENRIQUE MADRID OSORIO / BARROS ARANA,0,0,0,1,1,0,0,0,1
3,1,SAN BERNARDO,13,REGION METROPOLITANA,Chile,EUCALIPTUS,DIEGO PORTALES,0,EUCALIPTUS / DIEGO PORTALES,0,0,1,0,1,0,0,1,0
4,1,SAN BERNARDO,13,REGION METROPOLITANA,Chile,LOS CANELOS, ,223,LOS CANELOS 223,0,1,0,0,1,0,1,0,0
5,1,SAN BERNARDO,13,REGION METROPOLITANA,Chile,CENTRAL,LOS SUSPIROS,0,CENTRAL / LOS SUSPIROS,0,0,0,1,1,0,0,0,1
6,1,SAN BERNARDO,13,REGION METROPOLITANA,Chile,PADRE HURTADO, ,13560,PADRE HURTADO 13560,0,1,0,0,1,0,1,0,0
7,1,SAN BERNARDO,13,REGION METROPOLITANA,Chile,PADRE HURTADO, ,18832,PADRE HURTADO 18832,0,1,0,0,1,0,1,0,0
8,1,MAIPU,13,REGION METROPOLITANA,Chile,EL CONQUISTADOR, ,3111,EL CONQUISTADOR 3111,0,0,0,0,1,0,0,0,0
9,1,MAIPU,13,REGION METROPOLITANA,Chile,CALETA DE CAMARONES, ,849,CALETA DE CAMARONES 849,0,0,0,1,1,0,0,0,1
10,1,MAIPU,13,REGION METROPOLITANA,Chile,LAS TINAJAS, ,2236,LAS TINAJAS 2236,0,0,0,1,1,0,0,0,1
11,1,MAIPU,13,REGION METROPOLITANA,Chile,PORTALES, ,1742,PORTALES 1742,0,0,0,1,1,0,0,0,1
12,1,MAIPU,13,REGION METROPOLITANA,Chile,3 PONIENTE,ANGOSTURA,0,3 PONIENTE / ANGOSTURA,0,0,0,2,1,0,0,0,0
