FID,OBJECTID,Match_addr,x,y,ICount,Region,Comuna,Calle_1,Calle_2,Numero,Accid_bici,Falle_bici,Grave_bici,Mgrav_bici,Leve_bici,Ileso_bici
1,1,"10014 SANTA ROSA, LA GRANJA",348472.9304,6286368.9611,1,REGION METROPOLITANA,LA GRANJA,SANTA ROSA, ,10014,1,0,1,0,0,0
2,2,"10369 LOS LIRIOS, LA GRANJA",349565.5201,6286307.0228,1,REGION METROPOLITANA,LA GRANJA,LOS LIRIOS, ,10369,1,0,0,0,0,1
3,3,"10453 VICUNA MACKENNA, LA FLORIDA",352703.9511,6286165.8272,1,REGION METROPOLITANA,LA FLORIDA,VICUNA MACKENNA, ,10453,1,0,0,0,1,0
4,4,"11 DE SEPTIEMBRE & GENERAL DEL CANTO, PROVIDENCIA",349554.4995,6299999.4998,1,REGION METROPOLITANA,PROVIDENCIA,11 DE SEPTIEMBRE,GENERAL DEL CANTO, ,1,0,0,0,0,1
5,5,"1100 RICARDO CUMMING, SANTIAGO",344818.0265,6299561.483,1,REGION METROPOLITANA,SANTIAGO,RICARDO CUMMING, ,1100,1,0,0,0,0,1
6,6,"11053 SAN FRANCISCO, EL BOSQUE",346139.4891,6284865.5832,1,REGION METROPOLITANA,EL BOSQUE,SAN FRANCISCO, ,11053,1,0,0,0,1,0
7,7,"1130 ESTADOS UNIDOS, CERRO NAVIA",338455.6746,6299100.615,1,REGION METROPOLITANA,CERRO NAVIA,ESTADOS UNIDOS, ,1130,1,1,0,0,0,0
8,8,"1131 JORGE ALESSANDRI, LA REINA",356213.78,6296361.9505,1,REGION METROPOLITANA,LA REINA,JORGE ALESSANDRI, ,1131,1,0,0,1,0,0
9,9,"1134 ANTONIO EBNER, QUINTA NORMAL",342307.3706,6298831.3708,1,REGION METROPOLITANA,QUINTA NORMAL,ANTONIO EBNER, ,1134,1,0,1,0,0,0
10,10,"116 EYZAGUIRRE, PUENTE ALTO",353692.6854,6279683.9631,1,REGION METROPOLITANA,PUENTE ALTO,EYZAGUIRRE, ,116,1,0,1,0,0,0
11,11,"1165 JOSE PEDRO ALESSANDRI, NUNOA",351459.1053,6295989.6747,1,REGION METROPOLITANA,NUNOA,JOSE PEDRO ALESSANDRI, ,1165,1,0,0,0,1,0
12,12,"11800 LAS CONDES, LAS CONDES",358307.0825,6306092.1308,1,REGION METROPOLITANA,LAS CONDES,LAS CONDES, ,11800,1,0,0,1,0,0
13,13,"1209 DUBLE ALMEYDA, NUNOA",349578.5362,6297157.4998,1,REGION METROPOLITANA,NUNOA,DUBLE ALMEYDA, ,1209,1,0,0,0,1,0
14,14,"125 MUNOZ GAMERO, RECOLETA",348326.4129,6303025.5954,1,REGION METROPOLITANA,RECOLETA,MUNOZ GAMERO, ,125,1,0,0,0,0,1
15,15,"12501 MONSENOR ESCRIVA DE BALAGUER, LO BARNECHEA",360084.5596,6307272.4434,1,REGION METROPOLITANA,LO BARNECHEA,MONSENOR ESCRIVA DE BALAGUER NORTE, ,12500,1,0,0,0,1,0
16,16,"1361 AMERICO VESPUCIO, QUILICURA",337835.7568,6306051.5697,1,REGION METROPOLITANA,QUILICURA,AMERICO VESPUCIO, ,1361,1,1,0,0,0,0
17,17,"1380 DUBLE ALMEYDA, NUNOA",349717.5775,6297166.5607,1,REGION METROPOLITANA,NUNOA,DUBLE ALMEYDA, ,1380,1,0,0,0,1,0
18,18,"1562 VICUNA MACKENNA, NUNOA",348765.7201,6296127.7546,1,REGION METROPOLITANA,NUNOA,VICUNA MACKENNA, ,1562,1,0,0,0,1,0
19,19,"1580 SUCRE, NUNOA",349901.2335,6297755.7757,1,REGION METROPOLITANA,NUNOA,SUCRE, ,1580,1,0,0,0,1,0
20,20,"1593 IRARRAZAVAL, NUNOA",349938.9616,6297308.5939,1,REGION METROPOLITANA,NUNOA,IRARRAZAVAL, ,1593,1,0,0,0,1,0
