FID,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
1,"CAMINO A RINCONADA & EL CONQUISTADOR, MAIPU",0,1,0,0,1
2,"ALFREDO SILVA CARVALLO & LA GALAXIA, MAIPU",0,0,0,1,1
3,"CALETERA CAMINO A MELIPILLA & PARQUE CENTRAL PONIENTE, MAIPU",0,0,0,1,1
4,"CAMPANARIO & 4 PONIENTE, MAIPU",0,0,0,1,1
5,"INCA DE ORO & 4 PONIENTE, MAIPU",0,0,0,1,1
6,"FRANCISCO PIZARRO & 4 PONIENTE, MAIPU",0,0,0,1,1
7,"AMERICO VESPUCIO & EL RETIRO PARQUE LOS MAITENES, PUDAHUEL",0,0,0,1,1
8,"PARQUE CENTRAL ORIENTE & LAGO DE LUGANO, MAIPU",0,0,0,1,1
9,"LAS NACIONES & JOSE MANUEL BORGONO, MAIPU",0,0,0,1,1
10,"CAMINO A RINCONADA & LAS NACIONES, MAIPU",0,0,0,1,1
11,"PRESIDENTE GABRIEL GONZALEZ VIDELA & NUEVA SAN MARTIN, MAIPU",0,0,0,0,1
12,"PRESIDENTE JOSE MANUEL BALMACEDA & FERMIN VIVACETA, MAIPU",0,0,0,1,1
13,"MAIPU & 3 PONIENTE, MAIPU",0,0,0,1,1
14,"JOSE MANUEL BORGONO & 3 PONIENTE, MAIPU",0,0,0,0,1
15,"2601 3 PONIENTE, MAIPU",0,0,0,1,1
16,"EL OLIMPO & O`HIGGINS, MAIPU",0,0,0,1,1
17,"ALFREDO SILVA CARVALLO & 3 PONIENTE, MAIPU",0,0,0,2,3
18,"ALFREDO SILVA CARVALLO & HUGO ERCILLA OLEA, MAIPU",0,0,0,1,1
19,"1139 PRESIDENTE ARTURO ALESSANDRI PALMA, MAIPU",0,0,1,0,1
20,"INGENIERO EDUARDO DOMINGUEZ & CHANCURA, MAIPU",0,0,0,1,1
21,"BRAVO LUCO & SANTA MARTA, PUDAHUEL",0,1,0,0,1
22,"SERRANO & SAN FRANCISCO, PUDAHUEL",1,0,0,0,1
23,"15300 CAMINO A MELIPILLA, MAIPU",0,0,0,2,1
24,"CLAUDIO ARRAU & EL PORTEZUELO, PUDAHUEL",0,0,0,0,1
25,"LA TRAVESIA & ISLA DE PASCUA, PUDAHUEL",0,0,0,1,1
26,"LA SINFONIA & PRESIDENTE JORGE ALESSANDRI RODRIGUEZ, MAIPU",0,0,0,0,1
27,"1955 AMERICO VESPUCIO, RENCA",1,0,0,0,1
28,"281 CENTENARIO, MAIPU",0,0,0,1,1
29,"1955 AMERICO VESPUCIO, MAIPU",0,0,0,1,1
30,"MANUEL RODRIGUEZ & MAIPU, MAIPU",0,0,0,0,1
31,"VICTORIA & SAN PABLO, PUDAHUEL",0,0,0,1,1
32,"EL ABETO & EL AVELLANO, PUDAHUEL",0,0,1,0,1
33,"5 DE ABRIL & MONUMENTO, MAIPU",0,0,0,1,1
34,"CAMINO LO BOZA & RENCA, RENCA",0,0,0,0,1
35,"3462 LOS PAJARITOS, MAIPU",0,0,0,1,1
36,"SAN DANIEL & ANDRES BELLO, PUDAHUEL",0,1,0,0,1
37,"2897 LOS PAJARITOS, MAIPU",0,0,0,1,1
38,"TRISTAN VALDES & LOS PAJARITOS, MAIPU",0,0,0,1,1
39,"LOS PAJARITOS & CHACABUCO, MAIPU",0,0,0,0,1
40,"LOS PAJARITOS & MAIPU, MAIPU",0,0,0,1,1
41,"LAGUNA SUR & OCEANIA, PUDAHUEL",0,0,0,1,1
42,"SAN LUIS & LO MARCOLETA, QUILICURA",0,0,0,1,2
43,"SANTA ELENA & AMERICO VESPUCIO, MAIPU",0,0,0,2,2
44,"GENERAL OSCAR BONILLA & LA ESTRELLA, PUDAHUEL",0,0,1,0,1
45,"ALBERTO LLONA & BELARMINO OSORIO, MAIPU",0,0,0,0,1
46,"LA ESTRELLA & LOS CHONOS, PUDAHUEL",0,0,0,0,1
47,"LA ESTRELLA & CORONA SUECA, PUDAHUEL",0,0,1,0,1
48,"LA ESTRELLA & SAN PABLO, PUDAHUEL",0,0,0,0,1
49,"1008 LA ESTRELLA, PUDAHUEL",0,0,0,1,1
50,"SALVADOR GUTIERREZ & ABRANTES, CERRO NAVIA",0,1,0,0,1
51,"8654 SAN PABLO, PUDAHUEL",0,0,0,1,1
52,"MAPOCHO SUR & LA ESTRELLA, CERRO NAVIA",0,0,0,1,1
53,"ATACAMA & LA TRAVESIA, PUDAHUEL",0,0,0,0,1
54,"400 AMERICO VESPUCIO, MAIPU",0,0,0,3,3
55,"PRIMERA TRANSVERSAL & 5 DE ABRIL, MAIPU",0,0,0,1,1
56,"AMERICO VESPUCIO & CORDILLERA, QUILICURA",0,0,0,0,1
57,"VOLCAN VILLARRICA & SAN LUIS, QUILICURA",0,0,0,1,1
58,"AMERICO VESPUCIO & WERNER VON BRAUN, MAIPU",0,1,0,0,1
