X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Cód__Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Tipo_Cal_1,Fallecid_1,Graves_1,Menos_Gr_1,Leves_1,Tipo,Servicio
-70.6596790343598,-33.4237140500632,1,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131080140,ESCANILLA,131080295,RETIRO, ,ESCANILLA - RETIRO,ESCANILLA @ RETIRO,ASFALTO,0,1,0,0,BICICLETA,PARTICULAR
-70.6591843002151,-33.6085092001394,2,1,LA PINTANA,2016,1,13112,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131120082,CAMINO EL MARISCAL, , ,1590,- CAMINO EL MARISCAL,1590 CAMINO EL MARISCAL,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-70.6587324115714,-33.4315875489261,3,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131010470,PDTE BALMACEDA,131010585,SAN MARTIN, ,PDTE BALMACEDA - SAN MARTIN,PDTE BALMACEDA @ SAN MARTIN,CONCRETO,0,0,0,0,BICICLETA,PARTICULAR
-70.6585978001482,-33.4126911307909,4,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131080174,INDEPENDENCIA,131080296,RIO JACHAL, ,INDEPENDENCIA - RIO JACHAL,INDEPENDENCIA @ RIO JACHAL,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6585449721726,-33.4358038350788,5,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010560,ROSAS,131010585,SAN MARTIN, ,ROSAS - SAN MARTIN,ROSAS @ SAN MARTIN,CONCRETO,0,0,0,0,BICICLETA,PARTICULAR
-70.6583937736536,-33.4369669570593,6,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010585,SAN MARTIN,131010635,STO DOMINGO, ,SAN MARTIN - STO DOMINGO,SAN MARTIN @ STO DOMINGO,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-70.6582944003661,-33.5269312998395,7,1,LA CISTERNA,2016,1,13109,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131090128,EL PARRON, , ,290,- EL PARRON,290 EL PARRON,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-70.6582653001034,-33.4130104000098,8,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131080174,INDEPENDENCIA, , ,1535,- INDEPENDENCIA,1535 INDEPENDENCIA,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6581530997856,-33.5671478998555,9,1,EL BOSQUE,2016,1,13105,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131050778,SAN FRANCISCO, , ,1986,- SAN FRANCISCO,1986 SAN FRANCISCO,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-70.6574561872531,-33.4040537774597,10,1,RECOLETA,2016,1,13127,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131270241,EL GUANACO,131270788,SAN GERARDO, ,EL GUANACO - SAN GERARDO,EL GUANACO @ SAN GERARDO,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6573864025603,-33.4451870294577,11,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010585,SAN MARTIN,131010342,LIBER BERNARDO O`HIGGINS, ,LIBER BERNARDO O`HIGGINS - SAN MARTIN,SAN MARTIN @ LIBER BERNARDO O`HIGGINS,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-70.657302260191,-33.4457472846094,12,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010342,LIBER BERNARDO O`HIGGINS,131010580,SAN IGNACIO DE LOYOLA, ,LIBER BERNARDO O`HIGGINS - SAN IGNACIO DE LOYOLA,LIBER BERNARDO O`HIGGINS @ SAN IGNACIO DE LOYOLA,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
-70.6571659661363,-33.4357093028419,13,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010560,ROSAS,131010042,AMUNATEGUI, ,AMUNATEGUI - ROSAS,ROSAS @ AMUNATEGUI,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6571651792295,-33.4471761454626,14,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010580,SAN IGNACIO DE LOYOLA, , ,15,- SAN IGNACIO DE LOYOLA,15 SAN IGNACIO DE LOYOLA,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6569395087512,-33.5301983848474,15,1,LA CISTERNA,2016,1,13109,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131090388,URUGUAY,131090025,ANGAMOS, ,ANGAMOS - URUGUAY,URUGUAY @ ANGAMOS,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-70.6565457001238,-33.4178674998851,16,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131080174,INDEPENDENCIA, , ,1084,- INDEPENDENCIA,1084 INDEPENDENCIA,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
-70.6564144116956,-33.560470178256,17,1,EL BOSQUE,2016,1,13105,13,REGION METROPOLITANA,1,URBANA,16,CRUCE SIN SEÑALIZACIÓN,131050778,SAN FRANCISCO,131050451,LOS CURANTOS, ,LOS CURANTOS - SAN FRANCISCO,SAN FRANCISCO @ LOS CURANTOS,CONCRETO,0,0,1,0,BICICLETA,PARTICULAR
-70.6561048002961,-33.4699903000122,18,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010274,GRAL RONDIZZONI, , ,1859,- GRAL RONDIZZONI,1859 GRAL RONDIZZONI,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
