X,Y,FID,Año,Claseaccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,COd_Calle_,Calle_Dos,Número,Intersecci,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-70.8856880004007,-33.2941259997149,1,2017,1,13302,LAMPA,13,REGION METROPOLITANA,2,RURAL,1,TRAMO DE VIA RECTA,133020118,ISABEL RIQUELME,133020089,EL PELLIN,0,EL PELLIN - ISABEL RIQUELME,0,0,0,1,BICICLETA,0,0,0,0,1
-70.8824891001916,-33.2662548997437,2,2017,1,13302,LAMPA,13,REGION METROPOLITANA,2,RURAL,1,TRAMO DE VIA RECTA,133020129,JUAN DE DIOS MARTICORENA,0, ,20,JUAN DE DIOS MARTICORENA  20,0,0,1,0,BICICLETA,0,0,1,0,1
-70.8810430002341,-33.2829335996057,3,2017,1,13302,LAMPA,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,133020026,BALMACEDA,133020195,MIRAFLORES,0,BALMACEDA - MIRAFLORES,0,0,0,1,BICICLETA,0,0,0,0,1
-70.878267499945,-33.2843007004169,4,2017,1,13302,LAMPA,13,REGION METROPOLITANA,2,RURAL,1,TRAMO DE VIA RECTA,133020027,BAQUEDANO,0, ,820,BAQUEDANO  820,0,0,0,1,BICICLETA,0,0,0,0,1
-70.8781927995579,-33.2844009001813,5,2017,1,13302,LAMPA,13,REGION METROPOLITANA,2,RURAL,1,TRAMO DE VIA RECTA,133020027,BAQUEDANO,0, ,791,BAQUEDANO  791,0,0,0,1,BICICLETA,0,0,0,0,1
-70.8776162001274,-33.2939804003749,6,2017,1,13302,LAMPA,13,REGION METROPOLITANA,1,URBANA,2,TRAMO DE VIA CURVA HORIZONTAL,133020040,CAMINO CHICAUMA,0, ,978,CAMINO CHICAUMA  978,0,2,0,0,BICICLETA,0,2,0,0,1
-70.8747694996126,-33.2801669000822,7,2017,1,13302,LAMPA,13,REGION METROPOLITANA,2,RURAL,14,CRUCE CON SEÑAL PARE,133020026,BALMACEDA,133020028,BARROS LUCO,0,BALMACEDA - BARROS LUCO,0,0,0,1,BICICLETA,0,0,0,0,1
-70.8728869002101,-33.2871750002259,8,2017,1,13302,LAMPA,13,REGION METROPOLITANA,2,RURAL,1,TRAMO DE VIA RECTA,133020028,BARROS LUCO,133020022,ARTURO PRAT,0,ARTURO PRAT - BARROS LUCO,0,1,0,0,BICICLETA,0,1,0,0,1
-70.8411393004382,-33.4494207004048,9,2017,1,13124,PUDAHUEL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131240699,LAS TORCAZAS,0, ,928,LAS TORCAZAS  928,0,1,0,0,BICICLETA,0,1,0,0,1
-70.8088829002255,-33.2335634003305,10,2017,1,13302,LAMPA,13,REGION METROPOLITANA,2,RURAL,1,TRAMO DE VIA RECTA,133020102,FRANCIA,133020098,ERRAZURIZ,0,ERRAZURIZ - FRANCIA,0,0,0,0,BICICLETA,0,0,0,0,1
-70.8067136041493,-33.384724362739,11,2017,1,13124,PUDAHUEL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131240157,CAMINO RENCA LAMPA,131240159,CAMPO ALEGRE,0,CAMINO RENCA LAMPA - CAMPO ALEGRE,0,0,0,1,BICICLETA,0,0,0,0,1
-70.8057770025065,-33.5706554294044,12,2017,1,13604,PADRE HURTADO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,136040028,EL MANZANO,136040098,PRIMERA TRANSVERSAL,0,EL MANZANO - PRIMERA TRANSVERSAL,0,0,0,1,BICICLETA,0,0,0,0,1
-70.8008248919551,-33.5669028381953,13,2017,1,13604,PADRE HURTADO,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,136040098,PRIMERA TRANSVERSAL,136040090,MARIANO LATORRE,0,MARIANO LATORRE - PRIMERA TRANSVERSAL,0,0,0,1,BICICLETA,0,0,0,0,1
-70.7976619997013,-33.5125242002315,14,2017,1,13119,MAIPU,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131190869,EL CONQUISTADOR,0, ,2150,EL CONQUISTADOR  2150,0,0,0,1,BICICLETA,0,0,0,0,1
-70.7948155842715,-33.563888006726,15,2017,1,13604,PADRE HURTADO,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,136040072,LOS COPIHUES,136040120,TERCERA AVENIDA,0,LOS COPIHUES - TERCERA AVENIDA,0,0,0,1,BICICLETA,0,0,0,0,1
-70.79452590005,-33.5137059004068,16,2017,1,13119,MAIPU,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131190053,AGUA SANTA,131191627,LA GALAXIA,0,AGUA SANTA - LA GALAXIA,0,0,0,1,BICICLETA,0,0,0,0,1
-70.7934897002893,-33.3936161001028,17,2017,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131060431,LOS PAJARITOS,131060019,AEROPUERTO,0,AEROPUERTO - LOS PAJARITOS,0,0,0,1,BICICLETA,0,0,0,0,2
-70.7929047002915,-33.5173111997519,18,2017,1,13119,MAIPU,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131192874,SAN JOSE,0, ,2567,SAN JOSE  2567,0,0,0,0,BICICLETA,0,0,0,0,1
-70.7924732001778,-33.5313255995966,19,2017,1,13119,MAIPU,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131190024,4 PONIENTE,0, ,1096,4 PONIENTE  1096,0,0,0,1,BICICLETA,0,0,0,0,1
