X,Y,FID,Año,ClaseAccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-70.883682,-33.2884059999999,1,2018,1,13302,LAMPA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,133020022,ARTURO PRAT, , ,250,0,0,0,1,BICICLETA,0,0,0,0,1
-70.8749253,-33.3851127,2,2018,1,13124,PUDAHUEL,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131240151,CAMINO LUIS CRUZ MARTINEZ,131241215,SAN FRANCISCO,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.871628,-33.284,3,2018,1,13302,LAMPA,13,REGION METROPOLITANA,1,URBANA,16,CRUCE SIN SEÑALIZACION,133020209,PEDRO AGUIRRE CERDA,133020028,BARROS LUCO,0,1,0,0,0,BICICLETA,1,0,0,0,1
-70.8568693,-33.2919746999999,4,2018,1,13302,LAMPA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,133020149,LAS HIGUERAS,133020048,CAMINO LO ECHEVERS,0,1,0,0,0,BICICLETA,1,0,0,0,1
-70.8397861,-33.3850056,5,2018,1,13124,PUDAHUEL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131241255,SIMON BOLIVAR,131240132,CAMINO A LAMPA,0,0,1,0,0,BICICLETA,0,1,0,0,1
-70.8246149999999,-33.5121419999999,6,2018,1,13119,MAIPU,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131190394,CAMINO A RINCONADA,131191728,LAS CATALPAS,0,0,0,1,0,BICICLETA,0,0,1,0,1
-70.822685,-33.576305,7,2018,1,13604,PADRE HURTADO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,136040019,CAMINO A MELIPILLA, , ,3295,0,0,0,1,BICICLETA,0,0,0,1,1
-70.8156717,-33.5695362,8,2018,1,13604,PADRE HURTADO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,136040114,SIN NOMBRE, , ,8,0,0,0,1,BICICLETA,0,0,0,1,1
-70.806908,-33.569714,9,2018,1,13604,PADRE HURTADO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,136040028,EL MANZANO, , ,567,0,0,0,1,BICICLETA,0,0,0,0,1
-70.8057479999999,-33.570637,10,2018,1,13604,PADRE HURTADO,13,REGION METROPOLITANA,1,URBANA,12,CRUCE CON SEMAFORO APAGADO,136040098,PRIMERA TRANSVERSAL,136040028,EL MANZANO,0,0,0,1,0,BICICLETA,0,0,1,0,1
