X,Y,FID,POINT_X,POINT_Y,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,PAIS,TIPO,Año,Claseaccid,Cód_Regi,Cód_Zona,Zona,Cód_Calle,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Siniestros
-70.6614806,-33.5274179,1,-70.6614806,-33.5274179,REGION METROPOLITANA,13109,LA CISTERNA,GRAN AVDA JOSE MIGUEL CARRERA,EL PARRON,0,"GRAN AVDA JOSE MIGUEL CARRERA & EL PARRON, LA CISTERNA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131090158,0,0,0,1,1,1
-70.6614636,-33.3770135,2,-70.6614636,-33.3770135,REGION METROPOLITANA,13104,CONCHALI,GRAL GAMBINO,POMAIRE,0,"GRAL GAMBINO & POMAIRE, CONCHALI",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131040311,0,0,1,0,0,1
-70.6610055,-33.4899131,3,-70.6610055,-33.4899131,REGION METROPOLITANA,13130,SAN MIGUEL,SALESIANOS,JOSE JOAQUIN PRIETO VIAL,0,"SALESIANOS & JOSE JOAQUIN PRIETO VIAL, SAN MIGUEL",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131300248,0,0,0,1,1,1
-70.6608088,-33.4060614,4,-70.6608088,-33.4060614,REGION METROPOLITANA,13108,INDEPENDENCIA,INDEPENDENCIA,STA LAURA,0,"INDEPENDENCIA & STA LAURA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080174,0,0,0,1,0,1
-70.6607698,-33.4460146,5,-70.6607698,-33.4460146,REGION METROPOLITANA,13101,SANTIAGO,MANUEL RODRIGUEZ,LIBER BERNARDO O'HIGGINS,0,"MANUEL RODRIGUEZ & LIBER BERNARDO O'HIGGINS, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010391,0,0,1,0,1,1
-70.6603491,-33.4166142,6,-70.6603491,-33.4166142,REGION METROPOLITANA,13101,SANTIAGO,COMPANIA,MATURANA,0,"COMPANIA & MATURANA, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010132,0,0,0,0,2,1
-70.6602715,-33.4087836,7,-70.6602715,-33.4087836,REGION METROPOLITANA,13108,INDEPENDENCIA,PALERMO,INDEPENDENCIA,0,"PALERMO & INDEPENDENCIA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080270,0,0,0,1,1,1
-70.6600646,-33.573822,8,-70.6600646,-33.573822,REGION METROPOLITANA,13112,LA PINTANA,SAN FRANCISCO,LO MARTINEZ,0,"SAN FRANCISCO & LO MARTINEZ, LA PINTANA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131120657,0,0,0,1,0,1
-70.6596517,-33.4105742,9,-70.6596517,-33.4105742,REGION METROPOLITANA,13108,INDEPENDENCIA,LOS NIDOS,INDEPENDENCIA,0,"LOS NIDOS & INDEPENDENCIA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080217,0,0,1,0,1,1
-70.6593012,-33.4491637,10,-70.6593012,-33.4491637,REGION METROPOLITANA,13101,SANTIAGO,SAZIE,MANUEL RODRIGUEZ,0,"SAZIE & MANUEL RODRIGUEZ, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010602,0,0,0,1,0,1
-70.6588913,-33.3956818,11,-70.6588913,-33.3956818,REGION METROPOLITANA,13104,CONCHALI,DORSAL, ,1301,"DORSAL 1301, CONCHALI",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131040229,0,0,0,0,1,1
-70.6588564,-33.4122694,12,-70.6588564,-33.4122694,REGION METROPOLITANA,13108,INDEPENDENCIA,INGLATERRA,INDEPENDENCIA,0,"INGLATERRA & INDEPENDENCIA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080176,0,0,1,0,1,1
-70.6584741,-33.4702028,13,-70.6584741,-33.4702028,REGION METROPOLITANA,13101,SANTIAGO,GRAL RONDIZZONI,ALAMOS,0,"GRAL RONDIZZONI & ALAMOS, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010274,0,1,0,0,1,1
-70.658359,-33.4133468,14,-70.658359,-33.4133468,REGION METROPOLITANA,13108,INDEPENDENCIA,INDEPENDENCIA,CENTRAL,0,"INDEPENDENCIA & CENTRAL, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080174,0,0,0,1,0,1
-70.6582427,-33.4940626,15,-70.6582427,-33.4940626,REGION METROPOLITANA,13130,SAN MIGUEL,REAL AUDIENCIA,SAN IGNACIO DE LOYOLA,0,"REAL AUDIENCIA & SAN IGNACIO DE LOYOLA, SAN MIGUEL",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131300234,0,0,0,1,1,1
-70.6579417,-33.4275119,16,-70.6579417,-33.4275119,REGION METROPOLITANA,13108,INDEPENDENCIA,ANIBAL PINTO,BARNECHEA,0,"ANIBAL PINTO & BARNECHEA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080042,0,0,1,0,1,1
-70.6579055,-33.4482912,17,-70.6579055,-33.4482912,REGION METROPOLITANA,13101,SANTIAGO,DIECIOCHO,PADRE FELIPE GOMEZ DE VIDAURRE,0,"DIECIOCHO & PADRE FELIPE GOMEZ DE VIDAURRE, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010169,0,0,0,0,2,1
-70.657777,-33.3787396,18,-70.657777,-33.3787396,REGION METROPOLITANA,13104,CONCHALI,EL GUANACO,CAUQUENES,0,"EL GUANACO & CAUQUENES, CONCHALI",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131040246,0,0,0,1,1,1
-70.6576844,-33.4425958,19,-70.6576844,-33.4425958,REGION METROPOLITANA,13101,SANTIAGO,SAN MARTIN,MONEDA,0,"SAN MARTIN & MONEDA, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010585,0,0,0,0,1,1
-70.6576723,-33.3806654,20,-70.6576723,-33.3806654,REGION METROPOLITANA,13104,CONCHALI,PRINCIPAL CAP IGNACIO CARRERA PINTO,EL GUANACO,0,"PRINCIPAL CAP IGNACIO CARRERA PINTO & EL GUANACO, CONCHALI",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131040609,0,0,0,1,1,1
-70.6574873,-33.4318773,21,-70.6574873,-33.4318773,REGION METROPOLITANA,13101,SANTIAGO,PDTE BALMACEDA,AMUNATEGUI,0,"PDTE BALMACEDA & AMUNATEGUI, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010470,0,0,0,1,1,1
-70.6573618,-33.415599,22,-70.6573618,-33.415599,REGION METROPOLITANA,13108,INDEPENDENCIA,INDEPENDENCIA,DOMINGO SANTA MARIA,0,"INDEPENDENCIA & DOMINGO SANTA MARIA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080174,0,1,0,2,1,2
-70.6572907,-33.3938551,23,-70.6572907,-33.3938551,REGION METROPOLITANA,13104,CONCHALI,URMENETA,EL GUANACO,0,"URMENETA & EL GUANACO, CONCHALI",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131040765,0,0,1,0,1,1
-70.6572686,-33.445758,24,-70.6572686,-33.445758,REGION METROPOLITANA,13101,SANTIAGO,LIBER BERNARDO O'HIGGINS,SAN MARTIN,0,"LIBER BERNARDO O'HIGGINS & SAN MARTIN, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010342,0,0,1,1,2,2
-70.6572466,-33.4700275,25,-70.6572466,-33.4700275,REGION METROPOLITANA,13101,SANTIAGO,GRAL RONDIZZONI,FABRICA,0,"GRAL RONDIZZONI & FABRICA, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010274,0,0,0,2,1,1
-70.6569082,-33.4165314,26,-70.6569082,-33.4165314,REGION METROPOLITANA,13108,INDEPENDENCIA,SAN LUIS,INDEPENDENCIA,0,"SAN LUIS & INDEPENDENCIA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080311,0,1,1,2,3,4
-70.6568866,-33.4531544,27,-70.6568866,-33.4531544,REGION METROPOLITANA,13101,SANTIAGO,DIECIOCHO,STA ISABEL,0,"DIECIOCHO & STA ISABEL, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010169,0,0,0,0,2,1
-70.6567476,-33.4195722,28,-70.6567476,-33.4195722,REGION METROPOLITANA,13108,INDEPENDENCIA,CARRION, ,1246,"CARRION 1246, INDEPENDENCIA",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131080091,0,0,0,1,0,1
-70.6566607,-33.4456652,29,-70.6566607,-33.4456652,REGION METROPOLITANA,13101,SANTIAGO,LIBER BERNARDO O'HIGGINS, ,1460,"LIBER BERNARDO O'HIGGINS 1460, SANTIAGO",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131010342,0,0,0,1,1,1
-70.6563935,-33.4372474,30,-70.6563935,-33.4372474,REGION METROPOLITANA,13101,SANTIAGO,STO DOMINGO, ,1364,"STO DOMINGO 1364, SANTIAGO",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131010635,0,0,0,1,1,1
-70.6563187,-33.4412931,31,-70.6563187,-33.4412931,REGION METROPOLITANA,13101,SANTIAGO,AGUSTINAS,AMUNATEGUI,0,"AGUSTINAS & AMUNATEGUI, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010018,0,0,1,0,0,1
-70.6561695,-33.4480793,32,-70.6561695,-33.4480793,REGION METROPOLITANA,13101,SANTIAGO,PADRE FELIPE GOMEZ DE VIDAURRE,CORTE SUPREMA,0,"PADRE FELIPE GOMEZ DE VIDAURRE & CORTE SUPREMA, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010456,0,0,0,1,0,1
-70.6561227,-33.4194517,33,-70.6561227,-33.4194517,REGION METROPOLITANA,13108,INDEPENDENCIA,CARRION,INDEPENDENCIA,0,"CARRION & INDEPENDENCIA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080091,0,0,0,2,1,2
-70.6560444,-33.544243,34,-70.6560444,-33.544243,REGION METROPOLITANA,13109,LA CISTERNA,VICUNA MACKENNA,PERO,0,"VICUNA MACKENNA & PERO, LA CISTERNA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131090392,0,1,0,0,1,1
-70.6557739,-33.5419801,35,-70.6557739,-33.5419801,REGION METROPOLITANA,13109,LA CISTERNA,GOYCOLEA,PERO,0,"GOYCOLEA & PERO, LA CISTERNA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131090155,0,0,0,1,1,1
-70.6556523,-33.4366603,36,-70.6556523,-33.4366603,REGION METROPOLITANA,13101,SANTIAGO,STO DOMINGO,TEATINOS,0,"STO DOMINGO & TEATINOS, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010635,0,0,0,1,1,1
