,lat,lng,Year,Borough,Region,Zone,Severity
0,-70.8856880004007,-33.2941259997149,2017,LAMPA,REGION METROPOLITANA,RURAL,SLIGHT
1,-70.8824891001916,-33.2662548997437,2017,LAMPA,REGION METROPOLITANA,RURAL,SERIOUS
2,-70.8810430002341,-33.2829335996057,2017,LAMPA,REGION METROPOLITANA,URBANA,SLIGHT
3,-70.878267499945,-33.2843007004169,2017,LAMPA,REGION METROPOLITANA,RURAL,SLIGHT
4,-70.8781927995579,-33.2844009001813,2017,LAMPA,REGION METROPOLITANA,RURAL,SLIGHT
5,-70.8776162001274,-33.2939804003749,2017,LAMPA,REGION METROPOLITANA,URBANA,SERIOUS
6,-70.8747694996126,-33.2801669000822,2017,LAMPA,REGION METROPOLITANA,RURAL,SLIGHT
7,-70.8728869002101,-33.2871750002259,2017,LAMPA,REGION METROPOLITANA,RURAL,SERIOUS
8,-70.8411393004382,-33.4494207004048,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SERIOUS
9,-70.8088829002255,-33.2335634003305,2017,LAMPA,REGION METROPOLITANA,RURAL,SLIGHT
10,-70.8067136041493,-33.384724362739,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
11,-70.8057770025065,-33.5706554294044,2017,PADRE HURTADO,REGION METROPOLITANA,URBANA,SLIGHT
12,-70.8008248919551,-33.5669028381953,2017,PADRE HURTADO,REGION METROPOLITANA,URBANA,SLIGHT
13,-70.7976619997013,-33.5125242002315,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
14,-70.7948155842715,-33.563888006726,2017,PADRE HURTADO,REGION METROPOLITANA,URBANA,SLIGHT
15,-70.79452590005,-33.5137059004068,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
16,-70.7934897002893,-33.3936161001028,2017,ESTACION CENTRAL,REGION METROPOLITANA,URBANA,SLIGHT
17,-70.7929047002915,-33.5173111997519,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
18,-70.7924732001778,-33.5313255995966,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
19,-70.7919256551447,-33.4047228559748,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SERIOUS
20,-70.7913888426208,-33.5055046508188,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
21,-70.7912807441109,-33.5160198254544,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
22,-70.7908291504448,-33.5132327302062,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
23,-70.7883180049718,-33.5071556361236,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
24,-70.7880383769693,-33.5055161360606,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
25,-70.7856151744006,-33.5612111656625,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
26,-70.7853157001593,-33.4347030001432,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
27,-70.78493500005,-33.4289029997734,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SERIOUS
28,-70.7845579997517,-33.5067511003828,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
29,-70.7827416003444,-33.5349266001823,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
30,-70.7825575226114,-33.5183091729298,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
31,-70.7819624052406,-33.5113486316339,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
32,-70.7799719996079,-33.4413170002792,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SERIOUS
33,-70.779057899902,-33.5181854999607,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
34,-70.7789076996305,-33.5116150000321,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
35,-70.7788847003685,-33.5082995000217,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
36,-70.7785087001163,-33.5208191996462,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
37,-70.7780411003163,-33.5224016997785,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
38,-70.7777476002714,-33.528628299856,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
39,-70.7759215997019,-33.2254840997113,2017,LAMPA,REGION METROPOLITANA,RURAL,SLIGHT
40,-70.7758321998959,-33.4895688997847,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
41,-70.7755459214069,-33.5093461939715,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
42,-70.7754059653129,-33.517309859762,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
43,-70.7753363326054,-33.5215143818831,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
44,-70.7742727997498,-33.5080891998566,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
45,-70.7736456125548,-33.5291091403743,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
46,-70.772793700069,-33.4347075003507,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
47,-70.7723962213084,-33.5214077034026,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
48,-70.7715229220451,-33.5295369002076,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
49,-70.7708462208763,-33.5213442040716,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
50,-70.7705610746337,-33.4287933301479,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SERIOUS
51,-70.7695413000908,-33.2240110003072,2017,LAMPA,REGION METROPOLITANA,RURAL,SERIOUS
52,-70.7692866417649,-33.3810107796237,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
53,-70.7689549681971,-33.4429418404934,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
54,-70.7689309284195,-33.4544643142765,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
55,-70.7687212038203,-33.5212798926528,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
56,-70.7685538004174,-33.4259039999695,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
57,-70.768457666488,-33.4857514917377,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
58,-70.7680528204811,-33.4388845598743,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
59,-70.7680427004101,-33.3716277003579,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
60,-70.7679936001244,-33.53532070019,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
61,-70.7676536366058,-33.4315525823856,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
62,-70.7659916004318,-33.4292107001136,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SERIOUS
63,-70.7659507172517,-33.5211751414194,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
64,-70.7646338381809,-33.4588999369824,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
65,-70.7642687997651,-33.4963569996756,2017,MAIPU,REGION METROPOLITANA,URBANA,FATAL
